	target_text	input_text	prefix
436	Почему когда говорят, что человек изменяет партнеру, то в качестве направления движения указывают именно левое?	"Волосы в разных местах действительно разные и по толщине, и по плотности, и по цвету, и по структуре. ""Отличаются сами луковицы, - утверждает врач-хирург Клиники трасплантации собственных волос Real Trans Hair Владимир Орловский. - Так, луковицы в носу органически не способны вырастить волосы длиной в несколько сантиметров"". То же происходит и с волосами на голове - у их длины есть предел. Европейский мужчина может отрастить волосы до поясницы, а потом луковицы отбросит волос. Ты огорчен?"	ask_question
62	Какого цвета хамелеон, когда он стоит на зеркале?	Многие считают, что хамелеон, маскируясь от врага, меняет цвет в зависимости от цвета окружающей его обстановки - это миф. Да, хамелеон действительно способен менять облик: в его шкуре есть специальные клетки, хроматофоры, которые содержат пигменты разного цвета, и в зависимости от того, какой пигмент включается, ящер становится то желтым, то зеленым, то в крапинку. Но делает он это исключительно по настроению, а не чтобы скрыть себя на фоне куста. Холод, голод, страх и ярость, возбуждение — вот что влияет на хамелеонский окрас. Почти всегда цвет ящера далек от цвета того, что его окружает, а значит цвет хамелеона, стоящего на зеркале, непредсказуем. Как он себя ощущает, так и выглядеть будет.	ask_question
116	Могут ли выборы повысить правосознание?	Цель выборов не повышение правосознания, а избрание легитимным путем в соответствии с действующим законодательством, лиц претендующих на занятие выборных государственных должностей. Однако участие в процедуре волеизъявления можно рассматривать как воспитательную функцию, неравнодушия к будущему страны и своему будущему. А это в конечном счете может говорить о правосознании каждого человека, пришедшего или не пришедшего на выборы.	ask_question
231	Может ли человек выжить, питаясь одним пивом?	"Все зависит от конкретного человека, Гарик. В случае с пивом - большинство людей срубятся уже через несколько дней от обезвоживания и алкогольного отравления. Хотя пиво, естественно, содержит воду, оно при этом - мощное мочегонное средство. Получается замкнутый круг - чем больше получаешь жидкости, тем больше с ней расстаешься, плюс интоксикация, минус печень. Тем не менее, доктора говорят, что алкоголики со стажем могут протянуть несколько недель, потому что их организм давно адаптировался к огромным дозам алкоголя. Если же добавить к пивной диете воду, шансы успешно выжить значительно повышаются: бельгийские монахи XII века во время поста питались темным нефильтрованным пивом - фактически жидким хлебом. Эти так называемые ""монастырские сорта"" пива - особенно калорийные. Так что если уже решил испытать себя, избегай малокалорийной ""мочи"" и налегай на темное. Все равно помрешь, но сколько приключений ждет тебя по дороге на тот свет!"	ask_question
383	Почему морским судам принято давать название, а воздушным присваивается только номер?	"Ну почему? Если воздушное судно летает как медицинское, пассажиры часто дают ему очень разные названия. Но в декабре 2003 года это дело решили упорядочить. На заседании правления ОАО ""Аэрофлот - российские авиалинии"" было принято решение о присвоении новым воздушным судам компании имен собственных. Самолеты типа ""Ил"" назвали именами летчиков (Чкалова и других), ""Боинги"" - именами писателей и поэтов не ниже Пушкина, а вот суда типа ""Аэро"" получили имена композиторов (Прокофьева, Шостаковича и других). Надписи наносят на носовую часть фюзеляжа, по бокам от кабины. Имена получают все воздушные суда авиапарка."	ask_question
371	Испытывают ли насекомые боль?	"А что? Муха громко орала, когда ты отрывал ей плоскогубцами крылья? До 2005 года считалось, что насекомые не знают боли вообще, поскольку у них в мозгу отсутствуют неокортекс - часть коры, благодаря которой испытывают боль высшие позвоночные. Но теперь Александр Борст из немецкого Института нейробиологии им. Планка утверждает, что точно сказать невозможно: ""С одной стороны, насекомые могут испытывать боль, поскольку у них имеются нервные окончания, но с другой - насекомое со сломанной лапкой бежит так же, как и раньше, не обращая на нее внимания"". Возможно, если бы у Борста было шесть ног, он бы тоже хорошо бегал, сломав лишь одну."	ask_question
291	Почему болезнь называется свинкой?	"""Свинкой, или, говоря медицинским языком, эпидемическим паротитом, называется воспаление околоушной железы, при котором лицо и шея больного опухают, а щелки глаз становятся узкими - все это напоминает поросячье рыльце"", - с присущим докторам тактом ответил на твой вопрос врач-инфекционист поликлиники №1 И.И. Пестриков. ""И ничего забавного в этом заболевании нет, - с внезапной горячностью добавил эксперт. - Оно может привести к поражению центральной нервной системы и бесплодию!"" Дальше мы выслушаем тираду, содержащую общеизвестные факты о свинке, которые, тем не менее, спешим тебе напомнить. Заболеть ею можно в любом возрасте. Правда, лишь один раз (после выздоровления развивается пожизненный иммунитет). А передается инфекция, как правило, воздушно-капельным путем и при непосредственном контакте с больными, причем мальчиков свинка поражает два раза чаще, чем девочек. Так что если на улице опухший мальчонка станет тыкать в тебя обслюнявленным плюшевым танком - на всякий случай беги."	ask_question
400	А рыбы пьют?	"Пьют, но только морские рыбы. По словам профессора кафедры ихтиологии МГУ Г. Г. Новикова, рыбам приходится поддерживать водносолевой баланс в клетках и тканях организма. В пресной воде рыбы имеют более высокое содержание ионов по сравнению с окружающей водой, и поэтому ее избыток в теле им не нужен. Морские же рыбы (кроме акул) сталкиваются с иной проблемой: ионы из внешней среды (и прежде всего Na+) так и норовят просочиться в их организмы. Чтобы избежать этого, хитрые рыбы пьют морскую воду, и соотношение ионов получается одинаковым. ""Активное поглощение воды через стенки кишечника позволяет компенсировать ее потери и удерживать концентрацию ионов в крови и тканях в допустимых пределах"", - говорит профессор. Надеемся, Юля, что ты все поняла А мы можем спокойно чего-нибудь выпить и забыть об этом навеки."	ask_question
495	Если от плавания худеют, то почему киты такие толстые?	"Нам показалось, что можно. По крайней мере, детские опыты ты с надуванием лягушек свидетельствовали за эту версию. А вот Сидоренко И.Г., терапевт поликлиники № 47, скептически отнеслась к такому ноу-хау: ""Для ребенка это бы подошло, но для взрослого... Можно обзавестись вместительными легкими, т.к. упражнения на трубе, как и любые дыхательные, способствуют растяжению легочной ткани. Но строение скелета изменить уже не удастся - в двадцать восемь кости закончили свой рост. Единственное, что можно посоветовать в вашем случае, это начать ходить в спортзал: увеличив объем мышц плечевого пояса и грудные мышцы, вы не только улучшите свое физическое состояние, но и будете выглядеть атлетически сложенным человеком"". Впрочем, мы не исключаем, что врача Сидоренко успели подкупить твои соседи сверху, снизу и сбоку."	ask_question
404	Если я, имея двойную фамилию, выйду замуж за мужчину тоже с двойной фамилией, возможно ли, что у меня будет четырехэтажная фамилия?	"Адвокат Московской коллегии адвокатов Дмитрий Николаев обнаружил, что это ограничение предусмотрено статьей 32 Семейного кодекса РФ. ""В соответствии с ней соединения фамилий не допускается, если добрачная фамилия хотя бы одного из супругов является двойной"", - говорит Дмитрий. Поэтому, если бы внук Мамина-Сибиряка захотел жениться на правнучку Римского-Корсака, им бы пришлось бы выбрать один из этих вариантов. Или создать новую двойную фамилию: Римский-Сибиряк или Мамик-Корсков. Правда, такие случаи истории неизвестны."	ask_question
